,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
MAP2K4,1.196227515,1.089411434,-0.439669677,1.572424577,1.979468094,2.062289724,2.230120101,-0.112112405,0.859017103,0.58464963
MAP2K3,1.049524825,1.398523815,-1.152294124,1.146459724,1.694790055,1.833215937,2.061578684,0.09348764,0.026341275,0.653586295
MAP2K2,-4.361935333,-1.165320428,-2.37286885,-2.883313057,-6.483756413,-4.011850554,-5.770858697,-1.962835447,1.344329811,-5.932313205
MAP2K1,1.264747395,0.818269672,2.580830606,1.776775226,0.891082584,1.136207142,1.751101965,0.782771742,1.691814951,1.844313007
MAK,1.302157224,0.903906313,0.663412893,-2.758667454,0.390625224,0.553469986,-0.071050263,2.995558559,1.244746986,-0.871765238
MAGI-3,-7.732702838,-8.335771774,-12.91243986,-6.396237365,-8.084388401,-5.782205197,-12.39559439,-17.3321848,-7.375439899,-12.01029198
LYN,-8.149793607,-8.075905204,-14.01166368,-7.17945277,-8.94736144,-5.715685847,-12.25534698,-19.99005949,-6.900343152,-14.44428749
LYK5,-0.985775249,0.380426186,1.026784985,2.039868235,-1.750241677,-0.687645385,0.455241012,0.913212668,1.733816117,-0.228245101
LTK,0.012810404,-0.828459662,-1.467360917,-1.760710945,0.956332972,-1.396841964,-1.445145801,0.191938045,-2.08299429,0.615109744
LRRK2,-1.347653549,1.370419632,-1.59984243,-0.179742083,0.530474561,1.003789757,1.243479521,-0.038760986,-0.002169684,-2.089652186
LRRK1,1.345164597,1.538611026,-0.322844709,0.689701605,1.716512316,1.226806064,1.102543907,-0.073946012,0.457108287,3.046844285
LOC91461,-0.051542001,-2.770952307,0.620127036,0.234559117,0.698717598,-0.739228742,-0.488498957,0.099271496,-1.475659862,3.016032552
LOC390226,-8.661541875,-8.258775554,-11.9087602,-6.746259481,-8.722054981,-5.093247362,-12.80652805,-16.38838471,-7.277669591,-12.26568502
LOC340156,-3.176200224,-0.830676812,-0.721665292,0.45496752,1.459426494,-2.594294105,-1.796199426,-9.315881088,-1.701352682,-0.357724576
LMTK3,1.163399179,1.74841474,0.455959958,1.68103313,1.830833387,2.072533931,2.26689209,0.513086002,1.757202448,0.851893435
LMTK2,-0.10330455,-1.672248865,-0.995517054,0.300831443,-0.2475614,0.652353233,0.161821317,-3.043154284,0.708476035,1.6323355
LIMK2,0.688952973,-2.652278762,-1.823906124,-1.023121964,-1.754843622,-2.129597637,-1.248293776,-3.607729119,-2.946235961,0.682703754
LIMK1,1.418043947,-0.98884901,-1.055707669,0.464772305,-0.500588316,-1.931233821,-0.375070187,-3.654768321,-0.999879402,2.602559448
LCK,1.283108744,1.441323409,0.901203042,1.767428883,1.715319647,2.153505069,2.356776374,0.571374215,1.567424821,1.172681759
LATS2,0.018957482,-0.179146703,-0.744738521,0.099972582,-0.063210065,-2.252359815,0.745658472,1.719350822,0.132307806,1.500512071
LATS1,-0.967972034,0.589200154,-0.025772735,-0.53362862,0.110240435,-1.873683893,1.191255648,0.813646587,0.077707814,0.738460902
LAK,0.45002764,2.117252901,1.942881418,1.81991539,1.326681892,0.379519184,2.102448231,2.527001652,-0.16363225,0.920883664
KUB3,-7.848791792,-7.502847644,-12.54874061,-7.235248311,-8.754830098,-5.187333133,-10.6961057,-18.23413459,-7.60155844,-12.27266086
KSR2,1.036690423,1.366905448,0.391021265,-0.300534967,-0.341575172,1.032591066,0.069237546,0.176697395,0.968398736,0.242482753
KSR,-1.292621121,-0.526828998,-7.141018229,-2.130498293,-0.296383424,-0.78397866,-1.69734915,-4.592130397,-2.139538004,-1.543413598
KIT,1.098441128,-0.3955215,-0.534572881,1.052117854,1.635274643,0.50264601,0.409267911,0.544502208,-0.981475643,2.504963022
KIAA2002,0.805261842,-0.91274017,-0.104290764,-0.589734799,-0.468556428,0.274445657,-0.575904711,-1.930984273,-3.88069797,1.458464465
KIAA1811,1.210843653,1.898934243,0.122888842,1.739042679,2.03465871,2.142152857,2.366264424,0.954731687,1.034712393,0.806779407
KIAA1811,0.418054188,-1.027538557,-3.298400463,-2.251330044,0.377399657,-1.378512113,-2.527603593,0.446943607,-1.662927858,-1.060725302
KIAA1804,-0.717618129,0.892907778,-1.112537526,-0.255957579,1.279226692,-0.190678325,0.494246766,-3.569794009,-4.310003547,-0.277426057
KIAA1765,1.171137849,1.341020982,-0.060107782,1.312065529,1.87154104,1.791367075,2.08881365,-0.100307975,1.589019389,0.4639896
KIAA1639,-8.575414486,-7.144931138,-13.50981025,-6.953631771,-8.407122587,-6.312257888,-13.34554965,-14.13949037,-7.429879602,-12.96620574
KIAA1361,-1.931841351,-0.397479401,-0.198205115,0.550897433,-2.128660928,-2.29447499,-1.100352791,0.241903806,-1.222218005,0.647676096
KIAA0999,-0.395188553,-0.64228695,-0.808425476,-2.20911525,0.743799338,-1.249464566,-0.270093458,-2.796199166,-0.04276178,0.409126796
KHK,-3.960918386,0.19178825,-0.675827749,-2.408988673,0.408807027,-1.795741533,-3.596359517,-1.124608865,-0.116638806,0.06641459
KDR,0.99943662,0.701617208,0.642145683,1.840147321,0.732151773,-0.022581485,0.983132636,1.472081547,1.316030242,0.387940203
KCNH8,0.983992416,1.062871936,-2.47731322,0.872696837,1.727229478,1.967857582,1.766217843,-1.487935845,0.072687764,0.374426161
KCNH2,0.960161845,-0.49854048,1.553846936,1.704324959,-0.041157174,1.244775617,1.113861075,1.488091735,-2.566261649,0.945935669
KALRN,-2.009627704,-0.136836137,2.907601873,1.449952277,0.391245883,0.927954979,0.237386686,2.749439091,0.363566977,2.618590348
JIK,-1.275705448,0.188945522,-2.762364517,-5.354192742,-2.611061733,-1.031044189,-4.566253289,-2.346513746,-2.995510705,-4.857403882
JAK3,-0.254919371,1.743281362,0.814800345,0.856081789,1.239482948,0.985268311,0.666963807,2.482915769,0.931547281,0.353568183
JAK2,1.545891538,1.583981113,-3.489531114,-3.102555774,0.23180065,-0.747585686,-0.934802753,2.216658501,0.193931641,-1.191775109
JAK1,-0.08999016,-2.43855816,0.44173892,1.434875972,-0.155277895,0.410845461,0.425472928,-0.191443785,-0.584141741,2.37034873
ITPKC,-2.168491074,-3.174661368,1.005973432,-0.629580501,-2.342448976,-2.377671282,-5.975214813,-0.011793592,1.506497176,-4.304258378
ITPKB,0.427376538,-1.13939253,-0.334289044,2.200765439,0.034071492,0.218467608,0.877931825,0.151772225,1.440570974,1.558349849
ITPKA,1.04505559,1.738255703,0.71347339,1.538431123,1.757929214,2.136416244,2.216906908,0.728584744,1.674809126,0.578757672
ITPK1,1.197938519,1.868389199,-0.083288814,1.616987644,1.877101837,2.025543608,2.37081139,0.20767494,1.72959416,0.771675138
ITK,-0.16368253,2.144784114,0.970279515,-2.653163894,0.307531058,-0.182284905,0.668073062,1.186273005,0.535686474,1.197356593
IRAK4,0.349106038,1.713292467,0.997803972,1.992946407,1.793704278,0.659446164,1.75774948,3.414918676,2.495808763,0.071274588
IRAK3,-2.029372162,0.993551706,-0.804053328,-0.427728527,-0.119360151,-0.293709734,0.355979443,-0.5802025,-1.618180575,1.709602347
IRAK2,1.156664759,1.474914437,0.8619645,1.953982134,1.949634599,2.337284017,2.433932265,0.283476669,1.552721816,1.319120852
IRAK1,-8.687397557,-9.817477114,-14.86637041,-6.416528242,-9.567984174,-6.371194042,-13.97420545,-19.03597532,-7.859852726,-13.48063239
IPMK,1.059205529,1.23796716,-2.056364471,-3.190908463,-0.124569369,-0.376037873,-0.765602998,1.011133699,1.35772516,-1.560118324
INSRR,-7.832090219,-7.331367705,-13.85742846,-6.699169377,-8.778201231,-4.668098495,-11.16420554,-22.29800343,-8.061143097,-11.25371793
INSR,-1.102424651,-0.270289045,-0.004663685,-4.64436502,-2.035485527,-0.859210078,-3.959411976,-0.362632823,-2.152511957,-3.991713311
ILK-2,-7.33641116,-8.953540197,-12.91193116,-6.632300301,-8.164333099,-5.184625643,-12.23885163,-20.37124206,-6.894353573,-12.216781
